views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate
8937266,1,1894,2013-08-05,2018-10-12,95914,0,EN,0
1103,0,1198,2015-06-30,2018-10-10,96169,0,EN,1
282,0,2086,2012-12-27,2018-09-13,98343,0,EN,0
5766,1,1770,2013-11-25,2018-09-30,103123,0,EN,0
8926,0,3166,2010-02-10,2018-10-12,105041,0,EN,1
7188,0,2441,2012-01-27,2018-10-03,105333,0,EN,0
1445,1,2437,2012-01-27,2018-09-29,106969,0,EN,0
3296,1,588,2017-03-01,2018-10-10,108538,0,EN,1
4432,1,2639,2011-07-22,2018-10-12,109678,0,EN,0
2360,1,1336,2014-12-04,2018-08-01,111738,0,EN,1
665,1,1298,2015-03-24,2018-10-12,113359,0,EN,0
103871823,0,2974,2010-08-21,2018-10-12,113417,0,EN,0
23934820,0,3170,2010-02-06,2018-10-12,116648,0,EN,0
755148,0,1276,2015-04-14,2018-10-11,122269,0,EN,0
43385,1,2350,2012-05-06,2018-10-12,123861,0,EN,1
22083762,0,2952,2010-09-12,2018-10-12,124827,0,EN,0
3528066,0,4061,2007-08-30,2018-10-12,125430,0,EN,0
9432,1,1008,2016-01-07,2018-10-11,129869,0,EN,1
11793,0,1939,2013-06-16,2018-10-07,131033,0,EN,1
6138,1,3308,2009-09-20,2018-10-11,131128,0,EN,1
771,1,2211,2012-08-23,2018-09-12,133924,0,EN,0
30868,0,1961,2013-05-27,2018-10-09,134405,0,EN,1
3475,1,1680,2014-02-11,2018-09-18,134952,0,EN,0
278,0,1927,2013-06-29,2018-10-08,138216,0,EN,0
13949,1,2408,2012-03-09,2018-10-12,140703,0,EN,1
42340657,0,3894,2008-02-13,2018-10-12,141493,0,EN,0
11928,1,1935,2013-02-16,2018-06-05,141930,1,OTHER,0
89506813,0,2784,2011-02-27,2018-10-12,143081,0,EN,0
2373,0,2286,2012-06-19,2018-09-22,144898,0,EN,0
64698,1,757,2016-09-15,2018-10-12,145281,0,EN,1
2053,1,2173,2012-09-03,2018-08-16,147773,0,EN,0
16178,1,2135,2012-12-07,2018-10-12,150905,0,EN,1
13933,0,1203,2015-06-27,2018-10-12,151230,0,EN,1
36301,1,1549,2014-07-16,2018-10-12,151401,0,EN,0
18896216,0,1080,2015-10-28,2018-10-12,155127,0,EN,0
313057,1,2154,2012-11-17,2018-10-11,155216,0,EN,0
1197884,1,4002,2007-10-28,2018-10-12,157118,0,EN,0
8535,1,1434,2014-11-08,2018-10-12,157585,0,EN,0
2677249,0,2362,2012-04-24,2018-10-12,159097,0,EN,0
